accession,description,seq_length
EF127906.1,"EF127906.1 KI polyomavirus Stockholm 60, complete genome",5040
EF127907.1,"EF127907.1 KI polyomavirus Stockholm 350, complete genome",5040
EF127908.1,"EF127908.1 KI polyomavirus Stockholm 380, complete genome",5040
EF165067.2,"EF165067.2 Cardiovirus D1, complete genome",8115
EF422221.1,"EF422221.1 Human papillomavirus type 107, complete genome",7562
EF441262.1,"EF441262.1 Human bocavirus WLL-2, complete genome",5297
EF538875.1,"EF538875.1 Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes, complete cds",2002
EF538876.1,"EF538876.1 Torque teno midi virus 4 isolate 6PoSMA ORF2, ORF1, and ORF3 genes, complete cds",2454
EF564600.1,"EF564600.1 Human adenovirus 3+11p strain OvAd1, complete genome",35130
EF564601.1,"EF564601.1 Human adenovirus 3+11p strain OvAd2, complete genome",35355
EF584447.1,"EF584447.1 Human bocavirus WLL-3, complete genome",5297
EF626591.1,"EF626591.1 Human papillomavirus type 102 isolate Bsb-77 major capsid protein L1 gene, partial cds",452
EF628442.1,"EF628442.1 Human coxsackievirus A15 isolate 628/05/CA15 VP1 gene, partial cds",321
EF628458.1,"EF628458.1 Human coxsackievirus A18 isolate 655/05/CA18 VP1 gene, partial cds",321
EF628459.1,"EF628459.1 Human coxsackievirus A18 isolate 650/05/CA18 VP1 gene, partial cds",321
EF628460.1,"EF628460.1 Human coxsackievirus A18 isolate 657/05/CA18 VP1 gene, partial cds",321
EU084928.2,"EU084928.2 Influenza A virus (A/Chicken/NY/14714-2/1999(H7N3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",2294
EU099398.1,"EU099398.1 Human adenovirus type 10 isolate Dhaka/11 truncated hexon gene, partial cds",653
EU099399.1,"EU099399.1 Human adenovirus type 10 isolate Dhaka/253 truncated hexon gene, partial cds",653
EU231644.1,"EU231644.1 Simian T-cell lymphotropic virus 6 strain Cmo8699AB, complete genome",8913
EU301181.1,"EU301181.1 Influenza A virus (A/aquatic bird/Korea/CN-4/2006(H3N3)) polymerase PB2 (PB2) gene, partial cds",1462
EU301244.1,"EU301244.1 Influenza A virus (A/aquatic bird/Korea/CN-3/2005(H3N1)) segment 7 matrix protein 2 (M2) gene, partial cds; and matrix protein 1 (M1) gene, complete cds",945
EU301245.1,"EU301245.1 Influenza A virus (A/aquatic bird/Korea/CN-4/2006(H3N3)) segment 7 matrix protein 2 (M2) gene, partial cds; and matrix protein 1 (M1) gene, complete cds",945
EU301281.1,"EU301281.1 Influenza A virus (A/aquatic bird/Korea/CN-3/2005(H3N1)) segment 6 neuraminidase (NA) gene, partial cds",1299
EU301282.1,"EU301282.1 Influenza A virus (A/aquatic bird/Korea/CN-4/2006(H3N3)) segment 6 neuraminidase (NA) gene, partial cds",1395
EU327559.1,"EU327559.1 Human astrovirus 6 isolate HAstV/Ghana1369/06/DE capsid protein gene, partial cds",348
EU370775.1,"EU370775.1 Hantavirus sdp1 nucleocapsid protein gene, partial cds",407
EU370777.1,"EU370777.1 Hantavirus sdp3 nucleocapsid protein gene, partial cds",407
EU370778.1,"EU370778.1 Hantavirus sdp22 nucleocapsid protein gene, partial cds",405
EU370779.1,"EU370779.1 Hantavirus sdp37 nucleocapsid protein gene, partial cds",405
EU371559.1,"EU371559.1 SARS coronavirus ZJ02, complete genome",29731
EU371560.1,"EU371560.1 SARS coronavirus BJ182a, complete genome",29731
EU371561.1,"EU371561.1 SARS coronavirus BJ182b, complete genome",29602
EU371562.1,"EU371562.1 SARS coronavirus BJ182-4, complete genome",29602
EU371563.1,"EU371563.1 SARS coronavirus BJ182-8, complete genome",29602
EU371564.1,"EU371564.1 SARS coronavirus BJ182-12, complete genome",29512
EU410347.1,"EU410347.1 Human papillomavirus FA75/KI88-03, complete genome",7401
EU410348.1,"EU410348.1 Human papillomavirus type 110, complete genome",7423
EU410349.1,"EU410349.1 Human papillomavirus type 111, complete genome",7384
EU498002.1,"EU498002.1 Babanki virus strain ARY251 NSP4 gene, partial cds",427
EU541441.1,"EU541441.1 Human papillomavirus type 109, complete genome",7346
EU556224.1,"EU556224.1 Human parechovirus 7, complete genome",7146
EU604749.1,"EU604749.1 Human TMEV-like cardiovirus isolate UC7 VP1 gene, partial cds",819
EU604750.1,"EU604750.1 Human TMEV-like cardiovirus isolate UC3 VP1 gene, partial cds",819
EU669002.1,"EU669002.1 Avian nephritis virus 1 isolate EF91-276 polymerase gene, partial cds",388
EU697850.1,"EU697850.1 Human rhinovirus 7316563 polyprotein gene, partial cds",395
EU743398.2,"EU743398.2 Influenza A virus (A/ruddy turnstone/NJ/238/2004(H10N7)) segment 8 nonstructural protein 2 (NS2) and nonstructural protein 1 (NS1) genes, complete cds",890
EU743400.2,"EU743400.2 Influenza A virus (A/ruddy turnstone/NJ/238/2004(H10N7)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",2341
EU840806.1,"EU840806.1 Human rhinovirus 26 polyprotein gene, partial cds",1650
EU840826.1,"EU840826.1 Human rhinovirus 50 polyprotein gene, partial cds",1713
EU840835.1,"EU840835.1 Human rhinovirus 5 polyprotein gene, partial cds",1524
EU840849.1,"EU840849.1 Human rhinovirus 74 polyprotein gene, partial cds",1662
EU840863.1,"EU840863.1 Human rhinovirus 90 polyprotein gene, partial cds",1725
EU840866.1,"EU840866.1 Human rhinovirus 95 polyprotein gene, partial cds",1704
EU840867.1,"EU840867.1 Human rhinovirus 96 polyprotein gene, partial cds",1773
EU840870.1,"EU840870.1 Human rhinovirus 99 polyprotein gene, partial cds",1757
EU854568.1,"EU854568.1 Ljunganvirus 4 strain 64-7855 polyprotein mRNA, complete cds",7436
FJ007373.1,"FJ007373.1 Enterovirus J103, complete genome",7355
FJ025899.1,"FJ025899.1 Simian adenovirus 44, complete genome",37711
FJ025900.1,"FJ025900.1 Simian adenovirus 43, complete genome",37188
FJ025901.1,"FJ025901.1 Simian adenovirus 45, complete genome",37152
FJ025902.1,"FJ025902.1 Simian adenovirus 42.2, complete genome",37820
FJ025904.1,"FJ025904.1 Simian adenovirus 31.2, complete genome",37860
FJ025905.1,"FJ025905.1 Simian adenovirus 34, complete genome",37799
FJ025906.1,"FJ025906.1 Simian adenovirus 31.1, complete genome",37828
FJ025907.1,"FJ025907.1 Simian adenovirus 40.1, complete genome",37718
FJ025908.1,"FJ025908.1 Simian adenovirus 33, complete genome",35694
FJ025911.1,"FJ025911.1 Simian adenovirus 32, complete genome",35588
FJ025912.1,"FJ025912.1 Simian adenovirus 35.1, complete genome",35606
FJ025913.1,"FJ025913.1 Simian adenovirus 41.1, complete genome",35100
FJ025914.1,"FJ025914.1 Simian adenovirus 28.1, complete genome",35610
FJ025916.1,"FJ025916.1 Simian adenovirus 29, complete genome",35646
FJ025919.1,"FJ025919.1 Simian adenovirus 37.2, complete genome",36632
FJ025920.1,"FJ025920.1 Simian adenovirus 30, complete genome",36621
FJ025921.1,"FJ025921.1 Simian adenovirus 37.1, complete genome",36635
FJ025922.1,"FJ025922.1 Simian adenovirus 38, complete genome",36494
FJ025923.1,"FJ025923.1 Simian adenovirus 26, complete genome",36628
FJ025924.1,"FJ025924.1 Simian adenovirus 39, complete genome",36553
FJ025925.1,"FJ025925.1 Simian adenovirus 42.3, complete genome",37820
FJ025926.1,"FJ025926.1 Simian adenovirus 40.2, complete genome",37729
FJ025927.1,"FJ025927.1 Simian adenovirus 41.2, complete genome",35767
FJ025928.1,"FJ025928.1 Simian adenovirus 27.2, complete genome",35672
FJ025929.1,"FJ025929.1 Simian adenovirus 47, complete genome",35563
FJ025930.1,"FJ025930.1 Simian adenovirus 46, complete genome",35608
FJ167602.1,"FJ167602.1 Human adenovirus 27 isolate 11907 hexon gene, partial cds",384
FJ169625.1,"FJ169625.1 Human adenovirus 53 strain human/DEU/IAI-1/2005/53[P37H22F8], complete genome",34909
FJ170278.1,"FJ170278.1 Human bocavirus 2c isolate PK-5510, complete genome",5196
FJ222451.1,"FJ222451.1 Mamastrovirus 6 isolate MLB1, complete genome",6171
FJ230849.1,"FJ230849.1 Hepatitis E virus type 1 isolate PDB3 polyprotein gene, partial cds",327
FJ230850.1,"FJ230850.1 Hepatitis E virus type 1 isolate PDB4 polyprotein gene, partial cds",327
FJ375127.1,"FJ375127.1 Human bocavirus isolate SH1, complete genome",5276
FJ375128.1,"FJ375128.1 Human bocavirus isolate SH2, complete genome",5277
FJ438902.1,"FJ438902.1 Cosavirus A1 strain HCoSV-A1 polyprotein gene, complete cds",7632
FJ438903.1,"FJ438903.1 Cosavirus A2 strain HCoSV-A2 isolate 6344 polyprotein gene, complete cds",7335
FJ438907.1,"FJ438907.1 Human cosavirus B1 polyprotein gene, complete cds",7205
FJ438908.1,"FJ438908.1 Human cosavirus D1 polyprotein gene, complete cds",7215
FJ445112.1,"FJ445112.1 Human rhinovirus 5 strain ATCC VR-485, complete genome",7212
FJ555055.1,"FJ555055.1 Human cosavirus E1 polyprotein gene, complete cds",6580
FJ608550.1,"FJ608550.1 Rio Mamore virus strain HTN-007 segment M, complete sequence",3694
FJ804072.1,"FJ804072.1 Human papillomavirus type 116 strain HPV116, complete sequence",7184
FJ809772.1,"FJ809772.1 Rio Mamore virus isolate HTN-007 segment L, complete sequence",6563
FJ882963.1,"FJ882963.1 SARS coronavirus P2, complete genome",29682
FJ890352.1,"FJ890352.1 Mamastrovirus 4 strain CSL2 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",3510
FJ907198.1,"FJ907198.1 Xenotropic MuLV-related virus clone EK1 truncated gag protein gene, complete cds",611
FJ938067.1,"FJ938067.1 Human enteric coronavirus strain 4408, complete genome",30953
FJ973558.1,"FJ973558.1 Human bocavirus 2a TU strain HBoV2A-TU-A-114-06, complete genome",4966
FJ973560.1,"FJ973560.1 Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome",4958
FJ973620.1,"FJ973620.1 Mamastrovirus 9 isolate VA1, complete genome",6586
FM212574.1,"FM212574.1 Human endogenous retrovirus complete episomal DNA molecule, clone HSB16.100",1642
FM955837.2,"FM955837.2 Human papillomavirus type 98, complete genome",7466
FM955838.1,"FM955838.1 Human papillomavirus type 99, complete genome",7698
FM955839.1,"FM955839.1 Human papillomavirus type 100, complete genome",7380
FM955840.1,"FM955840.1 Human papillomavirus type 104, complete genome",7386
FM955841.1,"FM955841.1 Human papillomavirus type 105, complete genome",7667
FM955842.1,"FM955842.1 Human papillomavirus type 113, complete genome",7412
FN547152.2,"FN547152.2 Human papillomavirus type 125 complete genome, strain SIBX9",7809
FN677755.1,"FN677755.1 Human papillomavirus type 150, complete genome, isolate SIBX1",7436
FN677756.1,"FN677756.1 Human papillomavirus type 151, complete genome, isolate SIBX2",7386
FR751514.1,"FR751514.1 Micro Torque teno virus complete genome, isolate microTTV-HD14.1 (zpr4.B5.20",719
FR751517.1,"FR751517.1 Micro Torque teno virus complete genome, isolate microTTV-HD23.2 (zpr12.B5.24)",642
GN352776.1,GN352776.1 Sequence 2540 from Patent WO2007130519,60
GN352777.1,GN352777.1 Sequence 2541 from Patent WO2007130519,60
GN352786.1,GN352786.1 Sequence 2550 from Patent WO2007130519,60
GN352787.1,GN352787.1 Sequence 2551 from Patent WO2007130519,60
GN352967.1,GN352967.1 Sequence 2731 from Patent WO2007130519,60
GN352997.1,GN352997.1 Sequence 2761 from Patent WO2007130519,60
GN353007.1,GN353007.1 Sequence 2771 from Patent WO2007130519,60
GN353017.1,GN353017.1 Sequence 2781 from Patent WO2007130519,60
GN353377.1,GN353377.1 Sequence 3141 from Patent WO2007130519,60
GN353378.1,GN353378.1 Sequence 3142 from Patent WO2007130519,60
GN353379.1,GN353379.1 Sequence 3143 from Patent WO2007130519,60
GN353519.1,GN353519.1 Sequence 3283 from Patent WO2007130519,60
GN353637.1,GN353637.1 Sequence 3401 from Patent WO2007130519,60
GN353638.1,GN353638.1 Sequence 3402 from Patent WO2007130519,60
GN353639.1,GN353639.1 Sequence 3403 from Patent WO2007130519,60
GN353649.1,GN353649.1 Sequence 3413 from Patent WO2007130519,60
GN353658.1,GN353658.1 Sequence 3422 from Patent WO2007130519,60
GN353659.1,GN353659.1 Sequence 3423 from Patent WO2007130519,60
GQ161697.1,"GQ161697.1 Human papillomavirus type 55 strain CU461 E1 gene, partial cds",662
GQ246950.1,"GQ246950.1 Human papillomavirus type 117 clone K6, complete genome",7895
GQ246951.1,"GQ246951.1 Human papillomavirus type 118 clone K2, complete genome",7597
GQ404844.1,"GQ404844.1 Human associated cyclovirus 2 isolate PK5006, complete genome",1723
GQ404845.1,"GQ404845.1 Human associated cyclovirus 5 isolate PK5034, complete genome",1780
GQ404846.1,"GQ404846.1 Human associated cyclovirus 3 isolate PK5222, complete genome",1740
GQ404847.1,"GQ404847.1 Human associated cyclovirus 1 isolate PK5510, complete genome",1759
GQ404848.1,"GQ404848.1 Cyclovirus PK6197, complete genome",1741
GQ404854.1,"GQ404854.1 Human associated cyclovirus 6 isolate NG12, complete genome",1794
GQ404855.1,"GQ404855.1 Human associated cyclovirus 7 isolate NG14, complete genome",1795
GQ404857.1,"GQ404857.1 Human associated cyclovirus 4 isolate TN25, complete genome",1867
GQ404858.1,"GQ404858.1 Cyclovirus TN18, complete genome",1867
GQ415660.1,"GQ415660.1 Mamastrovirus 8 isolate NI-295, complete genome",6534
GQ845441.1,"GQ845441.1 Human papillomavirus type 119, complete genome",7251
GQ845444.1,"GQ845444.1 Human papillomavirus type 122, complete genome",7397
GQ845445.1,"GQ845445.1 Human papillomavirus type 123, complete genome",7329
GQ847512.2,"GQ847512.2 Sandfly fever Sicilian virus strain Izmir 19 segment M, complete sequence",4403
GQ847513.2,"GQ847513.2 Sandfly fever Sicilian virus strain Izmir 19 segment L, complete sequence",6439
GQ891990.1,"GQ891990.1 Astrovirus SG, complete genome",6584
GU051243.2,"GU051243.2 Influenza A virus (A/mallard/Minnesota/313/2000(H4N6)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",890
GU051245.2,"GU051245.2 Influenza A virus (A/mallard/Minnesota/313/2000(H4N6)) segment 2 polymerase PB1 (PB1) gene, complete cds",2341
GU052354.2,"GU052354.2 Influenza A virus (A/pochard/Buryatiya/1941/2000(H4N6)) segment 5 nucleocapsid protein (NP) gene, complete cds",1565
GU053089.2,"GU053089.2 Influenza A virus (A/chicken/NSW/1688/1997(H7N4)) segment 5 nucleocapsid protein (NP) gene, complete cds",1565
GU053094.2,"GU053094.2 Influenza A virus (A/chicken/NSW/1651/1997(H7N4)) segment 4 hemagglutinin (HA) gene, partial cds",1713
GU053114.2,"GU053114.2 Influenza A virus (A/England/AV877/1996(H7N7)) segment 3 polymerase PA (PA) gene, complete cds",2233
GU053120.3,"GU053120.3 Influenza A virus (A/equine/Prague/E5203/1956(H7N7)) segment 3 polymerase PA (PA) gene, complete cds",2208
GU053145.2,"GU053145.2 Influenza A virus (A/mallard/Sweden/105/2002(H7N7)) segment 5 nucleocapsid protein (NP) gene, complete cds",1565
GU117628.1,"GU117628.1 Human papillomavirus type 94, complete genome",7872
GU117629.1,"GU117629.1 Human papillomavirus type 149, complete genome",7333
GU117630.1,"GU117630.1 Human papillomavirus type 130, complete genome",7388
GU117632.1,"GU117632.1 Human papillomavirus type 132, complete genome",7125
GU117633.1,"GU117633.1 Human papillomavirus type 133, complete genome",7358
GU117634.1,"GU117634.1 Human papillomavirus type 134, complete genome",7309
GU129016.1,"GU129016.1 Human papillomavirus type 148, complete genome",7164
GU355699.1,"GU355699.1 Human enterovirus 81 strain HEV/EV-81/PAK/RRL-22-2009 polyprotein gene, partial cds",613
GU376736.1,"GU376736.1 Dog astrovirus isolate SH capsid protein gene, complete cds",2744
GU553365.1,"GU553365.1 SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00003, complete genome",29644
GU797360.1,"GU797360.1 Torque teno virus 10 isolate BIS8-17, complete genome",3767
GU991354.1,"GU991354.1 Norovirus Hu/Shanghai/SH5/2009/CHN, complete genome",7511
GU991355.1,"GU991355.1 Norovirus Hu/Shanghai/SH312/2009/CHN, complete genome",7544
GU997097.1,"GU997097.1 Black Creek Canal virus strain SPB 9408076 segment L, complete sequence",6558
HC734583.1,HC734583.1 Sequence 25 from Patent EP2182066,497
HF930491.1,"HF930491.1 Human papillomavirus type 174 complete genome, isolate V001",7359
HM011570.1,"HM011570.1 Gammapapillomavirus HPV127 isolate R3a, complete genome",7181
HM119422.1,"HM119422.1 Morumbi virus segment L, complete sequence",6410
HM119423.1,"HM119423.1 Morumbi virus segment M, complete sequence",4387
HM119424.1,"HM119424.1 Morumbi virus segment S, complete sequence",1864
HM119428.1,"HM119428.1 Serra Norte virus segment L, complete sequence",6412
HM119429.1,"HM119429.1 Serra Norte virus segment M, complete sequence",4558
HM119430.1,"HM119430.1 Serra Norte virus segment S, complete sequence",1861
HM147992.1,"HM147992.1 Una virus non structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",11964
HM236897.1,"HM236897.1 Rhinovirus C32 isolate Resp_6131/07 polyprotein gene, partial cds",816
HM480374.1,"HM480374.1 Calhevirus 1 non-structural protein and capsid protein genes, complete cds; and unknown gene",8241
HM480375.1,HM480375.1 Tetnovirus 1 unknown genes,5063
HM480376.1,HM480376.1 Tetnovirus 2 unknown genes,4154
HM484374.1,"HM484374.1 Astrovirus VA1 isolate VS34 ORF1ab and putative serine protease genes, partial cds; and capsid protein precursor, gene, complete cds",4353
HM566182.1,"HM566182.1 Sand fever Naples-like virus segment S, complete sequence",1845
HM566183.1,"HM566183.1 Sand fever Naples-like virus segment L, complete sequence",6404
HM566184.1,"HM566184.1 Sand fever Naples-like virus segment M, complete sequence",2800
HM999988.1,"HM999988.1 Human papillomavirus type 136 isolate CL3865, complete genome",7319
HM999990.1,"HM999990.1 Human papillomavirus type 138 isolate GH13, complete genome",7353
HM999991.1,"HM999991.1 Human papillomavirus type 139 isolate GH1646, complete genome",7360
HM999992.1,"HM999992.1 Human papillomavirus type 140 isolate NJ2801C1, complete genome",7341
HM999993.1,"HM999993.1 Human papillomavirus type 141 isolate NJ2801Cn, complete genome",7384
HM999994.1,"HM999994.1 Human papillomavirus type 142 isolate GH1302, complete genome",7374
HM999995.1,"HM999995.1 Human papillomavirus type 143 isolate CL3220, complete genome",7715
HM999997.1,"HM999997.1 Human papillomavirus type 145 isolate CL4112, complete genome",7375
HM999999.1,"HM999999.1 Human papillomavirus type 147 isolate GH659, complete genome",7224
HQ154631.1,"HQ154631.1 Xenotropic MuLV-related virus isolate xmlv18 putative gag-pro-pol polyprotein, putative gag protein, and putative envelope glycoprotein genes, complete cds",7076
HQ246218.1,"HQ246218.1 Murine leukemia virus N417, complete genome",8189
HQ324784.1,"HQ324784.1 Simian adenovirus 31.1 isolate 2 hexon-like gene, partial sequence",265
HQ883276.1,"HQ883276.1 Human adenovirus 58 strain human/ARG/AdCor-96-487/1996/58[P58H58F29], complete genome",35217
HV540183.1,HV540183.1 JP 2011204261-A/48: RESEQUENCING PATHOGEN MICROARRAY,510
HV540343.1,HV540343.1 JP 2011204261-A/208: RESEQUENCING PATHOGEN MICROARRAY,291
HW158415.1,HW158415.1 JP 2013510589-A/5: Genotyping Method,18
HW350053.1,HW350053.1 JP 2013534810-A/24: FAST RESULTS HYBRID CAPTURE ASSAY AND ASSOCIATED STRATEGICALLY-TRUNCATED PROBES,7654
